ano_mes;ano_mes_dt;receita_total;qtd_pedidos;ticket_medio;clientes_unicos;tipo
2022-01;2022-01-01;207424,4;234;886,43;227;Realizado
2022-02;2022-02-01;246935,09;271;911,2;262;Realizado
2022-03;2022-03-01;249827,18;278;898,66;264;Realizado
2022-04;2022-04-01;291237,53;314;927,51;299;Realizado
2022-05;2022-05-01;250555,19;299;837,98;281;Realizado
2022-06;2022-06-01;287357,41;297;967,53;277;Realizado
2022-07;2022-07-01;212846,3;233;913,5;227;Realizado
2022-08;2022-08-01;257268,17;307;838,01;299;Realizado
2022-09;2022-09-01;298455,68;299;998,18;289;Realizado
2022-10;2022-10-01;366976,28;425;863,47;401;Realizado
2022-11;2022-11-01;413152,23;431;958,59;409;Realizado
2022-12;2022-12-01;367395,51;397;925,43;375;Realizado
2023-01;2023-01-01;277400,07;296;937,16;281;Realizado
2023-02;2023-02-01;224905,93;286;786,38;273;Realizado
2023-03;2023-03-01;339994,92;351;968,65;334;Realizado
2023-04;2023-04-01;361783,2;395;915,91;372;Realizado
2023-05;2023-05-01;351623,13;370;950,33;350;Realizado
2023-06;2023-06-01;385417,33;418;922,05;400;Realizado
2023-07;2023-07-01;249453,3;282;884,59;278;Realizado
2023-08;2023-08-01;255840,1;293;873,17;282;Realizado
2023-09;2023-09-01;386878,57;424;912,45;403;Realizado
2023-10;2023-10-01;444787,33;468;950,4;435;Realizado
2023-11;2023-11-01;490117,1;525;933,56;487;Realizado
2023-12;2023-12-01;422373,95;416;1015,32;392;Realizado
2024-01;2024-01-01;266907,88;323;826,34;314;Realizado
2024-02;2024-02-01;216566,08;248;873,25;242;Realizado
2024-03;2024-03-01;324845,02;371;875,59;353;Realizado
2024-04;2024-04-01;339587,42;368;922,79;354;Realizado
2024-05;2024-05-01;300809,65;356;844,97;338;Realizado
2024-06;2024-06-01;291461,74;292;998,16;284;Realizado
2024-07;2024-07-01;206185,17;252;818,2;235;Realizado
2024-08;2024-08-01;327589,88;345;949,54;328;Realizado
2024-09;2024-09-01;313004,08;354;884,19;339;Realizado
2024-10;2024-10-01;467857,41;482;970,66;450;Realizado
2024-11;2024-11-01;485993,61;522;931,02;489;Realizado
2024-11;2024-11-01;485993,61;522;931,02;489;Previsto
2024-12;2024-12-01;495713,48;527;940,63;493;Previsto
2025-01;2025-01-01;471413,8;501;940,95;474;Previsto
2025-02;2025-02-01;510293,29;542;941,5;508;Previsto
