ano_mes;receita_total;qtd_pedidos;clientes_unicos;ticket_medio;ano_mes_dt;var_receita_pct;var_pedidos_pct;receita_mm3;pedidos_mm3
2022-01;207424,4;234;227;886,43;2022-01-01;;;;
2022-02;246935,09;271;262;911,2;2022-02-01;19,05;15,81;;
2022-03;249827,18;278;264;898,66;2022-03-01;1,17;2,58;234728,89;261,0
2022-04;291237,53;314;299;927,51;2022-04-01;16,58;12,95;262666,6;287,67
2022-05;250555,19;299;281;837,98;2022-05-01;-13,97;-4,78;263873,3;297,0
2022-06;287357,41;297;277;967,53;2022-06-01;14,69;-0,67;276383,38;303,33
2022-07;212846,3;233;227;913,5;2022-07-01;-25,93;-21,55;250252,97;276,33
2022-08;257268,17;307;299;838,01;2022-08-01;20,87;31,76;252490,63;279,0
2022-09;298455,68;299;289;998,18;2022-09-01;16,01;-2,61;256190,05;279,67
2022-10;366976,28;425;401;863,47;2022-10-01;22,96;42,14;307566,71;343,67
2022-11;413152,23;431;409;958,59;2022-11-01;12,58;1,41;359528,06;385,0
2022-12;367395,51;397;375;925,43;2022-12-01;-11,08;-7,89;382508,01;417,67
2023-01;277400,07;296;281;937,16;2023-01-01;-24,5;-25,44;352649,27;374,67
2023-02;224905,93;286;273;786,38;2023-02-01;-18,92;-3,38;289900,5;326,33
2023-03;339994,92;351;334;968,65;2023-03-01;51,17;22,73;280766,97;311,0
2023-04;361783,2;395;372;915,91;2023-04-01;6,41;12,54;308894,68;344,0
2023-05;351623,13;370;350;950,33;2023-05-01;-2,81;-6,33;351133,75;372,0
2023-06;385417,33;418;400;922,05;2023-06-01;9,61;12,97;366274,55;394,33
2023-07;249453,3;282;278;884,59;2023-07-01;-35,28;-32,54;328831,25;356,67
2023-08;255840,1;293;282;873,17;2023-08-01;2,56;3,9;296903,58;331,0
2023-09;386878,57;424;403;912,45;2023-09-01;51,22;44,71;297390,66;333,0
2023-10;444787,33;468;435;950,4;2023-10-01;14,97;10,38;362502,0;395,0
2023-11;490117,1;525;487;933,56;2023-11-01;10,19;12,18;440594,33;472,33
2023-12;422373,95;416;392;1015,32;2023-12-01;-13,82;-20,76;452426,13;469,67
2024-01;266907,88;323;314;826,34;2024-01-01;-36,81;-22,36;393132,98;421,33
2024-02;216566,08;248;242;873,25;2024-02-01;-18,86;-23,22;301949,3;329,0
2024-03;324845,02;371;353;875,59;2024-03-01;50,0;49,6;269439,66;314,0
2024-04;339587,42;368;354;922,79;2024-04-01;4,54;-0,81;293666,17;329,0
2024-05;300809,65;356;338;844,97;2024-05-01;-11,42;-3,26;321747,36;365,0
2024-06;291461,74;292;284;998,16;2024-06-01;-3,11;-17,98;310619,6;338,67
2024-07;206185,17;252;235;818,2;2024-07-01;-29,26;-13,7;266152,19;300,0
2024-08;327589,88;345;328;949,54;2024-08-01;58,88;36,9;275078,93;296,33
2024-09;313004,08;354;339;884,19;2024-09-01;-4,45;2,61;282259,71;317,0
2024-10;467857,41;482;450;970,66;2024-10-01;49,47;36,16;369483,79;393,67
2024-11;485993,61;522;489;931,02;2024-11-01;3,88;8,3;422285,03;452,67
