ano_mes;receita_total;tipo
2016-10;3296.8;real
2016-11;30788.84;real
2016-12;12907.65;real
2017-01;2816.3;real
2017-02;626.5;real
2017-03;24064.6;real
2017-04;27699.2;real
2017-05;4702.3;real
2017-06;48206.299999999996;real
2017-07;148701.3;real
2017-08;125272.18;real
2017-09;152486.56;real
2017-10;149798.88999999998;real
2017-11;142316.68;real
2017-12;81335.19;real
2018-01;94303.11;real
2018-02;298091.83;real
2018-03;295673.28;real
2018-04;276899.02;real
2018-05;126844.85;real
2018-06;128281.8;real
2018-07;148955.85;real
2018-08;283909.28;real
2018-09;272223.35;real
2018-10;259706.35;real
2018-11;144873.09;real
2018-12;64393.32;real
2019-01;99465.26;real
2019-02;217620.67;real
2019-03;255727.4;real
2019-04;350911.7;real
2019-05;254561.07;real
2019-06;285250.26;real
2019-07;151684.29;real
2019-08;178062.38999999998;real
2019-09;141461.79;real
2019-10;210317.47;real
2019-11;138634.8;real
2019-12;144271.5;real
2020-01;65479.0;real
2020-02;136651.0;real
2020-03;144584.4;real
2020-04;211372.1;real
2020-05;625763.0;real
2020-06;337039.8;real
2020-07;219437.7;real
2020-08;198369.2;real
2020-09;286565.3;real
2020-10;304347.1;real
2020-11;168820.1;real
2020-12;109508.4;real
2021-01;196394.8;real
2021-02;286929.9;real
2021-03;253959.65;real
2021-04;288456.32;real
2021-05;213396.45;real
2021-06;252652.55;real
2021-07;163302.95;real
2021-08;236030.4;real
2021-09;286232.5;real
2021-10;268538.15;real
2021-11;302118.7;real
2021-12;223524.55;real
2022-01;280425.4;real
2022-02;254731.35;real
2022-03;460060.7;real
2022-04;390726.23;real
2022-05;545946.86;real
2022-06;501350.2;real
2022-07;338783.2;real
2022-08;354613.28;real
2022-09;260754.62;real
2022-10;194784.36000000002;real
2022-11;258053.28;real
2022-12;170676.78;real
2023-01;125904.53;real
2023-02;137079.13;real
2023-03;6052.7;real
2023-04;6662.28;real
2023-05;4611.0;real
2023-06;1668.8;real
2023-08;6624.099999999999;real
2023-10;2156.6;real
2023-11;2167.7;real
2023-12;1378.6;real
2024-01;217671.79;real
2024-02;310935.58;real
2024-03;315049.33;real
2024-04;364827.01;real
2024-05;257177.44;real
2024-06;273444.98;real
2024-07;225816.83000000002;real
2024-08;266970.44;real
2024-09;232904.58;real
2024-10;324263.87;real
2024-11;220153.85;real
2024-10;230283.54;previsao
2024-11;249643.95;previsao
2024-12;227497.72;previsao
