"id";"number";"customer_document";"seller_name";"order_value";"order_created"
"4140a410-6010-4863-8aec-5c7c15ffd171";"2";"99.999.999/9999-99";"Usuário de teste";"1060,80";"2016-10-10 18:06:56"
"032ca5d8-7a67-495b-bdeb-f983ba8b0f79";"5";"99.999.999/9999-99";"Usuário de teste";"495,50";"2016-10-13 13:15:35"
"043a2d5c-5b11-43d1-9d91-97ae933ce5b0";"8";"68.148.678/0001-50";"Usuário de teste";"549,00";"2016-10-20 13:59:03"
"a46fe3ad-303a-423f-8e3e-4e59d7bc27e4";"9";"26.153.919/0001-09";"Jessica";"1328,90";"2016-10-27 15:30:19"
"ffd2fe2c-c49c-4020-8d4c-4c3d49532ba9";"10";"20.164.518/0001-78";"Jessica";"1418,90";"2016-10-31 15:46:47"
"66386e82-8d90-459c-9a42-54b4e8deee8f";"11";"19.818.860/0001-65";"Sandra";"129,80";"2016-11-01 18:52:20"
"ed7f9bdb-b2a2-41e4-b042-c21e5558d4a8";"12";"04.851.514/0001-01";"Sandra";"892,90";"2016-11-02 20:47:14"
"7d82e047-7dd9-4678-87af-26adec0e4dbe";"14";"23.711.836/0001-08";"NATALIA";"2987,90";"2016-11-04 18:58:53"
"92da27e7-d7b2-44cb-9ef3-6f6d13206a7d";"15";"23.711.836/0001-08";"NATALIA";"89,80";"2016-11-04 19:01:23"
"5e41c939-bdd3-4b42-addb-cec9666f1240";"17";"04.851.514/0001-01";"Sandra";"1309,90";"2016-11-07 13:52:43"
"a61975ae-bec0-41e1-bc0f-71f2459631c4";"18";"19.685.255/0001-63";"KELI";"908,80";"2016-11-07 19:31:52"
"38289592-0cd7-4c8d-83c7-50d303be3d57";"20";"13.795.048/0001-85";"Sandra";"1234,00";"2016-11-09 01:19:19"
"043e7d48-3b8e-404d-ae50-7f6a7e0bb32f";"21";"10.841.586/0001-70";"Sandra";"1258,20";"2016-11-09 12:27:25"
"29141203-3c9f-4068-9c15-ee1ee8ffd372";"22";"14.540.879/0001-79";"KELI";"1533,60";"2016-11-09 15:03:58"
"05e093b5-bae5-48a6-a792-15491ddc81ae";"23";"14.540.879/0001-79";"Sandra";"2479,96";"2016-11-09 16:07:19"
"cb5b0bfb-b3b1-4725-b9c1-5944808d6178";"24";"19.882.691/0001-22";"Sandra";"988,90";"2016-11-09 17:17:17"
"18242974-bd7a-4d9a-a5ec-81f4b725b050";"26";"07.690.463/0001-71";"Sandra";"828,40";"2016-11-10 14:19:40"
"6eec70b2-9a79-4648-b487-2bab28a65df9";"27";"08.719.150/0001-61";"Sandra";"1174,60";"2016-11-10 14:54:46"
"cd752307-b6d1-443b-8786-e0c99671b591";"28";"16.445.570/0001-25";"Sandra";"299,40";"2016-11-10 22:00:36"
"563ca8f1-84f6-46d5-b8a8-d738044c941f";"31";"10.337.407/0001-62";"Sandra";"451,80";"2016-11-14 20:13:09"
"c5c42f6b-117e-40e5-b3e0-60f87d92db88";"32";"23.734.220/0001-44";"NATALIA";"1857,70";"2016-11-15 14:50:33"
"58107adc-4bdf-4393-ab5c-332097087c68";"33";"20.202.635/0001-89";"Sandra";"138,00";"2016-11-16 23:16:52"
"61633f5a-d9e9-44f8-914f-c1538274955f";"34";"23.558.789/0001-04";"Sandra";"2197,30";"2016-11-17 12:16:06"
"0a734345-b16f-4ddc-9cdf-150cd31c522c";"35";"13.625.822/0001-00";"Sandra";"1477,30";"2016-11-17 17:57:25"
"5df8c59c-7b13-4a2b-9ad1-fbad51ed09a5";"36";"13.625.822/0001-00";"Sandra";"117,00";"2016-11-17 18:42:16"
